linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
32;atualizado;;2267a4b9-56e3-450d-80e0-7febd1a41d00;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
33;atualizado;;343d87e2-dd10-4f47-8a43-6f773fdceadc;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
34;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
35;atualizado;;d8358ca7-f473-42c7-8940-302f63c97a09;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
36;atualizado;;875f55c0-c746-4a06-8e9c-acdfae91bc9b;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
37;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
38;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
39;atualizado;;209539a7-ceec-4d3e-b966-41efb9ea60e1;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
40;atualizado;;d9cb5015-ad1e-40c2-b2a6-80208a4e3182;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
41;atualizado;;e51ce10e-6dbd-44cc-a838-5965f6388c6f;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
42;atualizado;;2cc3599d-b677-446a-ab40-83031b7de32e;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
43;atualizado;;b2e657b3-a40f-4e66-a393-cc0aafb0d675;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
44;atualizado;;3f909c1e-04bb-4ce0-aa15-44904a437ba4;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
45;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
46;atualizado;;b388bb5b-2fec-46e9-9a44-d05412f39cd5;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
47;atualizado;;73fe3d4d-d95c-4701-acfb-b8ba409f5b4a;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
48;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
49;atualizado;;b6a51f8f-8adf-4ff5-9758-dfecd33de7ce;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
50;atualizado;;af7a5e88-d67f-4c0e-b287-ab1e4998c5a9;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
51;atualizado;;a2d7f607-baee-4921-b70d-bedf3884abfa;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
52;atualizado;;c920f3d8-d221-4a4d-8398-732e8cf66142;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
53;atualizado;;30ad77b5-01d1-49e0-bd39-abe433428cc2;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
54;atualizado;;52162c7c-6f0e-47b6-91d7-2266b3f11d1e;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
