linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
170;atualizado;;2a7752aa-cd04-4fc9-a3b3-f532c5dafec9;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
171;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
172;atualizado;;d06818f3-2376-449a-ab7e-2aeac6a28ee2;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
173;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
174;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
175;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
176;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
177;atualizado;;5a2bcc8a-82bd-477c-a11f-5e29df7a6f23;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
178;ignorado;Pesquisador nao encontrado no banco de dados.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
179;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
180;ignorado;Pesquisador vinculado a outra universidade.;;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;;;
181;atualizado;;5201ae97-316d-4adb-9bbf-567d34ec6987;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
182;atualizado;;687b81ee-32e5-4fe2-a8eb-0cef72aff1fd;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;20.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
183;atualizado;;93307a3a-4aaf-4214-a3c9-d1a5304f7611;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;25.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
184;atualizado;;97a3e14c-5832-485a-a086-d48e5dcb8802;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
185;atualizado;;6be4885f-a3ee-4f74-ae30-12a1e630a8aa;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
186;atualizado;;91a65961-9ddf-4de3-be90-4007cd5c8094;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;30.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
187;atualizado;;c2c482a7-a077-4042-a6f2-fd689f2a5399;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
188;atualizado;;a6d24457-dcf6-4799-9259-b182b2c0ad33;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;12.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
189;atualizado;;873a884b-b0fc-4355-b95f-121de59c7616;EBMSP;dc6b3b63-2ada-49cb-bbca-f888ff31d56b;METROPOLITANA DE SALVADOR;40.0;f1b0b08a-eb05-45bf-99c0-69bd9b2a82a6
